measure	row	version	bold_header	indent_header	redcap	worksheet	column
Depression (DEP)	606	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Mania (MAN)	607	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Paranoia (PAR)	608	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Schizophrenia (SCZ)	609	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Borderline Features (BOR)	610	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Antisocial Features (ANT)	611	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Alcohol Problems (ALC)	612	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Drug Problems (DRG)	613	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Aggression (AGG)	614	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Suicidal Ideation (SUI)	615	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Stress (STR)	616	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Nonsupport (NON)	617	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Treatment Rejection (RXR)	618	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Dominance (DOM)	619	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Warmth (WRM)	620	3.0u10.21.16	Personality Assessment Inventory	Personality Assessment Inventory	NA	NA	NA
Traumatic Symptom Inventory	621	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Atypical Response (ATR)	622	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Response Level (RL)	623	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Inconsistent Response (INC)	624	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Anxious Arousal (AA)	625	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Depression (DEP)	626	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Anger-Irritability (AI)	627	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Intrusive Experiences (IE)	628	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Defensive Avoidance (DA)	629	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Dissociation (DIS)	630	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Sexual Concerns (SC)	631	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Dysfxn Sexual Behavior (DSB)	632	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Impaired Self-reference (ISR)	633	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Tension Reduction Behavior (TRB)	634	3.0u10.21.16	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
MMPI-Rf	635	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
L-r: Uncommon Virtues	636	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
F-r: Infrequent Responses	637	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
K-r: Adjustment Validity	638	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
EID: Emotional/Internalizing Dysfxn	639	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
THD: Thought Dysfunction	640	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
BDX: Behavioral/Externalizing Dysfxn	641	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
RCd: Demoralization	642	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC1: Somatic Complaints	643	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC2: Low Positive Emotions	644	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC3: Cynicism	645	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC4: Antisocial Behavior	646	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC6: Ideas of Persecution	647	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC7: Dysfxn Negative Emotions	648	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC8: Aberrant Experiences	649	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC9: Hypomanic Activation	650	3.0u10.21.16	MMPI-Rf	MMPI-Rf	NA	NA	NA
MMPI-2	651	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
L	652	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
F	653	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
K	654	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
1 - Hs	655	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
2 - D	656	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
3 - Hy	657	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
4 - Pd	658	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
5 - Mf	659	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
6 - Pa	660	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
7 - Pt	661	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
8 - Sc	662	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
9 - Ma	663	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
0 - Si	664	3.0u10.21.16	MMPI-2	MMPI-2	NA	NA	NA
QUEST	665	3.0u10.21.16	QUEST	QUEST	NA	NA	NA
Total Score	666	3.0u10.21.16	QUEST	QUEST	NA	NA	NA
Communication	667	3.0u10.21.16	QUEST	QUEST	NA	NA	NA
Work & Finances	668	3.0u10.21.16	QUEST	QUEST	NA	NA	NA
Hobbies	669	3.0u10.21.16	QUEST	QUEST	NA	NA	NA
Physical	670	3.0u10.21.16	QUEST	QUEST	NA	NA	NA
Psychosocial	671	3.0u10.21.16	QUEST	QUEST	NA	NA	NA
SIMS	672	3.0u10.21.16	SIMS	SIMS	NA	NA	NA
Psychosis	673	3.0u10.21.16	SIMS	SIMS	NA	NA	NA
Neurologic Impairment	674	3.0u10.21.16	SIMS	SIMS	NA	NA	NA
Amnestic Disorders	675	3.0u10.21.16	SIMS	SIMS	NA	NA	NA
Low Intelligence	676	3.0u10.21.16	SIMS	SIMS	NA	NA	NA
Affective Disorders	677	3.0u10.21.16	SIMS	SIMS	NA	NA	NA
Total Score	678	3.0u10.21.16	SIMS	SIMS	NA	NA	NA
PTSD Checklist	679	3.0u10.21.16	PTSD Checklist	PTSD Checklist	NA	NA	NA
Brief Symptom Inventory 18	680	3.0u10.21.16	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
Somatization	681	3.0u10.21.16	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
Depression	682	3.0u10.21.16	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
Anxiety	683	3.0u10.21.16	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
GSI	684	3.0u10.21.16	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
SRS-2 (Self)	685	3.0u10.21.16	SRS-2 (Self)	SRS-2 (Self)	NA	NA	NA
Awr	686	3.0u10.21.16	SRS-2 (Self)	SRS-2 (Self)	NA	NA	NA
Cog	687	3.0u10.21.16	SRS-2 (Self)	SRS-2 (Self)	NA	NA	NA
Com	688	3.0u10.21.16	SRS-2 (Self)	SRS-2 (Self)	NA	NA	NA
Mot	689	3.0u10.21.16	SRS-2 (Self)	SRS-2 (Self)	NA	NA	NA
RRB (DSM-5)	690	3.0u10.21.16	SRS-2 (Self)	RRB (DSM-5)	NA	NA	NA
SCI (DSM-5)	691	3.0u10.21.16	SRS-2 (Self)	SCI (DSM-5)	NA	NA	NA
SRS Total	692	3.0u10.21.16	SRS-2 (Self)	SCI (DSM-5)	NA	NA	NA
SRS-2 (Other)	693	3.0u10.21.16	SRS-2 (Other)	SRS-2 (Other)	NA	NA	NA
Awr	694	3.0u10.21.16	SRS-2 (Other)	SRS-2 (Other)	NA	NA	NA
Cog	695	3.0u10.21.16	SRS-2 (Other)	SRS-2 (Other)	NA	NA	NA
Com	696	3.0u10.21.16	SRS-2 (Other)	SRS-2 (Other)	NA	NA	NA
Mot	697	3.0u10.21.16	SRS-2 (Other)	SRS-2 (Other)	NA	NA	NA
RRB (DSM-5)	698	3.0u10.21.16	SRS-2 (Other)	RRB (DSM-5)	NA	NA	NA
SCI (DSM-5)	699	3.0u10.21.16	SRS-2 (Other)	SCI (DSM-5)	NA	NA	NA
SRS Total	700	3.0u10.21.16	SRS Total	SCI (DSM-5)	NA	NA	NA
RAND-36 Health Inventory	701	3.0u10.21.16	RAND-36 Health Inventory	RAND-36 Health Inventory	NA	NA	NA
Physical Functioning	702	3.0u10.21.16	RAND-36 Health Inventory	RAND-36 Health Inventory	NA	NA	NA
Role Limitations (physical)	703	3.0u10.21.16	RAND-36 Health Inventory	RAND-36 Health Inventory	NA	NA	NA
Role Limitations (emotional)	704	3.0u10.21.16	RAND-36 Health Inventory	RAND-36 Health Inventory	NA	NA	NA
Energy/Fatigue	705	3.0u10.21.16	RAND-36 Health Inventory	RAND-36 Health Inventory	NA	NA	NA
Emotional Well-being	706	3.0u10.21.16	RAND-36 Health Inventory	RAND-36 Health Inventory	NA	NA	NA
Social Functioning	707	3.0u10.21.16	RAND-36 Health Inventory	RAND-36 Health Inventory	NA	NA	NA
Pain	708	3.0u10.21.16	RAND-36 Health Inventory	RAND-36 Health Inventory	NA	NA	NA
General Health	709	3.0u10.21.16	RAND-36 Health Inventory	RAND-36 Health Inventory	NA	NA	NA
COGNITIVE STATUS	12	3.0u11.01.16	COGNITIVE STATUS	COGNITIVE STATUS	NA	NA	NA
Information & Orientation (WMS-III)	14	3.0u11.01.16	Information & Orientation (WMS-III)	Information & Orientation (WMS-III)	wms_io_raw	Template	3
Information & Orientation (WMS-III)	14	3.0u11.01.16	Information & Orientation (WMS-III)	Information & Orientation (WMS-III)	wms_io_per	Template	5
Temporal Orientation	15	3.0u11.01.16	Temporal Orientation	Temporal Orientation	NA	NA	NA
Mini Mental State Examination	16	3.0u11.01.16	Mini Mental State Examination	Mini Mental State Examination	NA	NA	NA
R-BANS	17	3.0u11.01.16	R-BANS	R-BANS	NA	NA	NA
Total Scale	18	3.0u11.01.16	R-BANS	R-BANS	NA	NA	NA
Immediate Memory	19	3.0u11.01.16	R-BANS	R-BANS	NA	NA	NA
List Learning	20	3.0u11.01.16	R-BANS	Immediate Memory	NA	NA	NA
Story Memory	21	3.0u11.01.16	R-BANS	Immediate Memory	NA	NA	NA
Visuospatial/Constructional	22	3.0u11.01.16	R-BANS	R-BANS	NA	NA	NA
Figure Copy	23	3.0u11.01.16	R-BANS	Visuospatial/Constructional	NA	NA	NA
Line Orientation	24	3.0u11.01.16	R-BANS	Visuospatial/Constructional	NA	NA	NA
Language	25	3.0u11.01.16	R-BANS	R-BANS	NA	NA	NA
Picture Naming	26	3.0u11.01.16	R-BANS	Language	NA	NA	NA
Semantic Fluency	27	3.0u11.01.16	R-BANS	Language	NA	NA	NA
Attention	28	3.0u11.01.16	R-BANS	R-BANS	NA	NA	NA
Digit Span	29	3.0u11.01.16	R-BANS	Attention	NA	NA	NA
Coding	30	3.0u11.01.16	R-BANS	Attention	NA	NA	NA
Delayed Memory	31	3.0u11.01.16	R-BANS	R-BANS	NA	NA	NA
List Recall	32	3.0u11.01.16	R-BANS	Delayed Memory	NA	NA	NA
List Recognition	33	3.0u11.01.16	R-BANS	Delayed Memory	NA	NA	NA
Story Recall	34	3.0u11.01.16	R-BANS	Delayed Memory	NA	NA	NA
Figure Recall	35	3.0u11.01.16	R-BANS	Delayed Memory	NA	NA	NA
Mattis Dementia Rating Scale-2	36	3.0u11.01.16	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Attention	37	3.0u11.01.16	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Initiation / Perseveration	38	3.0u11.01.16	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Constructional	39	3.0u11.01.16	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Conceptualization	40	3.0u11.01.16	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Memory	41	3.0u11.01.16	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Total Score	42	3.0u11.01.16	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
INTELLECTUAL ABILITY	44	3.0u11.01.16	INTELLECTUAL ABILITY	INTELLECTUAL ABILITY	NA	NA	NA
Wechsler Adult Intelligence Scale-IV	46	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	NA	NA	NA
Full Scale IQ	47	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	fsiq	Template	3
Verbal Comprehension Index	48	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	vci	Template	4
Similarities	49	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	sim_raw	Template	3
Similarities	49	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	sim_ss	Template	4
Vocabulary	50	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	voc_raw	Template	3
Vocabulary	50	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	voc_ss	Template	4
Information	51	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	in_raw	Template	3
Information	51	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	in_ss	Template	4
Comprehension	52	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	NA	NA	NA
Perceptual Reasoning Index	53	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	pri	Template	4
Block Design	54	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	bd_raw	Template	3
Block Design	54	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	bd_ss	Template	4
Matrix Reasoning	55	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	mr_raw	Template	3
Matrix Reasoning	55	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	mr_ss	Template	4
Visual Puzzles	56	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	vp_raw	Template	3
Visual Puzzles	56	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	vp_ss	Template	4
Picture Completion	57	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	dsp_raw	Template	3
Picture Completion	57	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	dsp_ss	Template	4
Figure Weights	58	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	NA	NA	NA
Working Memory Index	59	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	wmi	Template	4
Digit Span	60	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Working Memory Index	NA	NA	NA
Arithmetic	61	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Working Memory Index	ar_raw	Template	3
Arithmetic	61	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Working Memory Index	ar_ss	Template	4
L-N Sequencing	62	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Working Memory Index	NA	NA	NA
Processing Speed Index	63	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	psi	Template	4
Symbol Search	64	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	ss_raw	Template	3
Symbol Search	64	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	ss_ss	Template	4
Coding	65	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	cd_raw	Template	3
Coding	65	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	cd_ss	Template	4
Cancellation	66	3.0u11.01.16	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	NA	NA	NA
Wechsler Adult Intelligence Scale-III	67	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Verbal IQ	68	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Performance IQ	69	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Full Scale IQ	70	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Verbal Comprehension Index	71	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Vocabulary	72	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Similarities	73	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Information	74	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Comprehension	75	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Perceptual Organization Index	76	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Picture Completion	77	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Block Design	78	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Matrix Reasoning	79	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Picture Arrangement	80	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Working Memory Index	81	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Arithmetic	82	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Working Memory Index	NA	NA	NA
Digit Span	83	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Working Memory Index	NA	NA	NA
L-N Sequencing	84	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Working Memory Index	NA	NA	NA
Processing Speed Index	85	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Digit Symbol-Coding	86	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Processing Speed Index	NA	NA	NA
Symbol Search	87	3.0u11.01.16	Wechsler Adult Intelligence Scale-III	Processing Speed Index	NA	NA	NA
MEMORY & LEARNING	89	3.0u11.01.16	MEMORY & LEARNING	MEMORY & LEARNING	NA	NA	NA
Wechsler Memory Scale-IV	91	3.0u11.01.16	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Auditory Memory Index	92	3.0u11.01.16	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Logical Memory I	93	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	LMI_raw	Template	3
Logical Memory I	93	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	LMI_ss	Template	4
Logical Memory II	94	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	LMII_raw	Template	3
Logical Memory II	94	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	LMII_ss	Template	4
LM Recognition	95	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	LMrec_raw	Template	3
LM Recognition	95	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	LMrec_per	Template	4
Verbal Paired Associates I	96	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	VPAI_raw	Template	3
Verbal Paired Associates I	96	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	VPAI_ss	Template	4
Verbal Paired Associates II	97	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	VPAII_raw	Template	3
Verbal Paired Associates II	97	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	VPAII_ss	Template	4
VPA Recognition	98	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	VPArec_raw	Template	3
VPA Recognition	98	3.0u11.01.16	Wechsler Memory Scale-IV	Auditory Memory Index	VPArec_perc	Template	4
Visual Memory Index	99	3.0u11.01.16	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Visual Reproduction I	100	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Memory Index	VRI_raw	Template	3
Visual Reproduction I	100	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Memory Index	VRI_ss	Template	4
Visual Reproduction II	101	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Memory Index	VRII_raw	Template	3
Visual Reproduction II	101	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Memory Index	VRII_ss	Template	4
VR Recognition	102	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Memory Index	VRrec_raw	Template	3
VR Recognition	102	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Memory Index	VRrec_per	Template	4
Designs I	103	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Memory Index	NA	NA	NA
Designs II	104	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Memory Index	NA	NA	NA
Designs Recognition	105	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Memory Index	NA	NA	NA
Visual Working Memory Index	106	3.0u11.01.16	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Symbol Span	107	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Working Memory Index	NA	NA	NA
Spatial Addition	108	3.0u11.01.16	Wechsler Memory Scale-IV	Visual Working Memory Index	NA	NA	NA
Immediate Memory Index	109	3.0u11.01.16	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Delayed Memory Index	110	3.0u11.01.16	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Wechsler Memory Scale-III	111	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Immediate Memory Index	112	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Immediate	113	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Visual Immediate	114	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
General Memory Index	115	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Delayed	116	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Visual Delayed	117	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Recognition Delayed	118	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Working Memory Index	119	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Memory	120	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Logical Memory I	121	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Logical Memory II	122	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Logical Memory % Retention	123	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Logical Memory Recognition	124	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Thematic I	125	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Thematic II	126	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Verbal Paired Associates I	127	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Verbal Paired Associates II	128	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
VPA Recognition	129	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
VPA % Retention	130	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists I	131	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists II	132	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists Recognition	133	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists % Retention	134	3.0u11.01.16	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Visual Memory	135	3.0u11.01.16	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Visual Reproduction I	136	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction II	137	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction % Retention	138	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction Recognition	139	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction Copy	140	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	VRcopy_raw	Template	3
Visual Reproduction Copy	140	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	VRcopy_perc	Template	4
Faces I	141	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Faces II	142	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Faces Recognition	143	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Faces % Retention	144	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures I	145	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures II	146	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures Recognition	147	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures % Retention	148	3.0u11.01.16	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
